Category: All categories

Month,nuclear energy: (United States)
2004-01,45
2004-02,52
2004-03,51
2004-04,64
2004-05,56
2004-06,25
2004-07,17
2004-08,16
2004-09,32
2004-10,45
2004-11,50
2004-12,39
2005-01,43
2005-02,50
2005-03,49
2005-04,56
2005-05,59
2005-06,25
2005-07,16
2005-08,19
2005-09,29
2005-10,39
2005-11,46
2005-12,34
2006-01,38
2006-02,47
2006-03,48
2006-04,48
2006-05,53
2006-06,21
2006-07,14
2006-08,15
2006-09,23
2006-10,32
2006-11,39
2006-12,32
2007-01,35
2007-02,37
2007-03,37
2007-04,43
2007-05,48
2007-06,21
2007-07,16
2007-08,14
2007-09,24
2007-10,41
2007-11,44
2007-12,34
2008-01,35
2008-02,41
2008-03,40
2008-04,47
2008-05,52
2008-06,29
2008-07,22
2008-08,19
2008-09,42
2008-10,64
2008-11,56
2008-12,45
2009-01,39
2009-02,46
2009-03,49
2009-04,50
2009-05,52
2009-06,27
2009-07,17
2009-08,15
2009-09,28
2009-10,43
2009-11,49
2009-12,38
2010-01,39
2010-02,48
2010-03,48
2010-04,53
2010-05,53
2010-06,24
2010-07,14
2010-08,13
2010-09,23
2010-10,33
2010-11,39
2010-12,31
2011-01,37
2011-02,38
2011-03,100
2011-04,63
2011-05,50
2011-06,27
2011-07,17
2011-08,15
2011-09,25
2011-10,32
2011-11,42
2011-12,32
2012-01,37
2012-02,37
2012-03,38
2012-04,41
2012-05,44
2012-06,18
2012-07,13
2012-08,13
2012-09,23
2012-10,33
2012-11,36
2012-12,31
2013-01,33
2013-02,36
2013-03,34
2013-04,47
2013-05,46
2013-06,17
2013-07,12
2013-08,12
2013-09,22
2013-10,35
2013-11,43
2013-12,35
2014-01,31
2014-02,37
2014-03,37
2014-04,48
2014-05,48
2014-06,20
2014-07,11
2014-08,11
2014-09,25
2014-10,36
2014-11,37
2014-12,34
2015-01,31
2015-02,33
2015-03,36
2015-04,46
2015-05,47
2015-06,17
2015-07,11
2015-08,12
2015-09,26
2015-10,43
2015-11,49
2015-12,40
2016-01,31
2016-02,41
2016-03,39
2016-04,46
2016-05,46
2016-06,17
2016-07,9
2016-08,12
2016-09,25
2016-10,38
2016-11,42
2016-12,35
2017-01,35
2017-02,40
2017-03,44
2017-04,44
2017-05,50
2017-06,16
2017-07,9
2017-08,12
2017-09,22
2017-10,37
2017-11,41
2017-12,34
2018-01,33
2018-02,40
2018-03,36
2018-04,43
2018-05,41
2018-06,15
2018-07,9
2018-08,11
2018-09,23
2018-10,38
2018-11,39
2018-12,32
2019-01,33
2019-02,41
2019-03,42
2019-04,46
2019-05,48
2019-06,18
2019-07,11
2019-08,13
2019-09,29
2019-10,38
2019-11,38
2019-12,32
2020-01,36
2020-02,42
2020-03,34
2020-04,40
2020-05,37
2020-06,14
2020-07,11
2020-08,13
2020-09,33
2020-10,38
2020-11,30
2020-12,24
2021-01,25
2021-02,32
2021-03,29
2021-04,32
2021-05,30
2021-06,15
2021-07,10
2021-08,11
2021-09,18
2021-10,23
2021-11,25
2021-12,21
2022-01,24
2022-02,40
2022-03,49
2022-04,66
2022-05,65
2022-06,22
2022-07,19
2022-08,18
2022-09,36
2022-10,44
2022-11,48
2022-12,50
2023-01,44
2023-02,51
2023-03,52
2023-04,50
2023-05,56
2023-06,23
2023-07,15
2023-08,19
2023-09,38
2023-10,48
2023-11,52
2023-12,41
2024-01,45
2024-02,58
2024-03,50
2024-04,57
2024-05,55
2024-06,23
2024-07,17
2024-08,17
2024-09,41
2024-10,62
2024-11,55
2024-12,47
2025-01,51
2025-02,59
2025-03,53
2025-04,58
2025-05,56
2025-06,37
2025-07,29
2025-08,29
2025-09,48
2025-10,50
